V,V_err,C,C_err
0.4,0,66,1
0.3,0,54,1
0.2,0,39,1
0.1,0,27.8,0.1
0,0,14.7,0.1
-0.1,0,10.2,0.1
-0.2,0,6.9,0.1
-0.3,0,6.0,0.1
-0.4,0,5.8,0.1
-0.5,0,5.4,0.1
-0.6,0,5.12,0.02
-0.7,0,4.81,0.02
-0.8,0,4.56,0.02
-0.9,0,4.32,0.02
-1.0,0,4.10,0.02
-1.2,0,3.82,0.02
-1.4,0,3.65,0.02
-1.6,0,3.51,0.02
-1.8,0,3.39,0.02
-2.0,0,3.30,0.02
-2.5,0,3.10,0.02
-3.0,0,2.98,0.02
-3.5,0,2.90,0.02
-4.0,0,2.87,0.02
-4.5,0,2.83,0.02
-5.0,0,2.80,0.02
-6.0,0,2.76,0.02
-7.0,0,2.74,0.02
-8.0,0,2.72,0.02
-9.0,0,2.71,0.02
-10.0,0,2.69,0.02