V,V_err,C,C_err,R,R_err,I,I_err
1, 0.1, 632, 1, 1.29, 0.01, 1.19, 0.01
10, 1, 204, 1, 9.9, 0.1, 0.381, 0.001
20, 1, 174, 1, 12, 1, 0.325, 0.001
30, 1, 162, 1, 14, 1, 0.302, 0.001
40, 1, 153, 1, 15, 1, 0.285, 0.001
50, 1, 136, 1, 10, 1, 0.253, 0.001
55, 1, 92, 1, 17, 1, 0.137, 0.001
60, 1, 97, 1, 16, 1, 0.181, 0.001 
65, 1, 85, 1, 19, 1, 0.158, 0.001
70, 1, 86, 1, 18, 1, 0.161, 0.001
75, 1, 79, 1, 19, 1, 0.148, 0.001
80, 1, 80, 1, 20, 1, 0.150, 0.001
90, 1, 75, 1, 20, 1, 0.141, 0.001
100, 1, 71, 1, 22, 2, 0.134, 0.001
120, 1, 67, 1, 23, 2, 0.126, 0.002
140, 1, 66, 1, 23, 2, 0.124, 0.002
160, 1, 66, 1, 23, 2, 0.123, 0.002
180, 1, 66, 1, 23, 2, 0.124, 0.002
200, 1, 66, 1, 24, 2, 0.124, 0.002