f (kHz),Err_f (kHz),C (pF),Err_C (pF)
0.8, 0.1, 251, 1 
1, 0.1, 251, 1
2, 0.5, 251, 1
5, 1, 251, 1
10, 1, 251, 1
20, 1, 248.4, 0.1
30, 0.1, 244.1, 0.1
40, 1, 238.53, 0.01
50, 1, 231.70, 0.01
75, 1, 210.87, 0.01
100, 1, 187.40, 0.01
125, 1, 164.12, 0.01
150, 1, 142.62, 0.01
175, 1, 123.65, 0.01
200, 1, 107.33, 0.01
225, 1, 93.56, 0.01
250, 1, 81.84, 0.01
275, 1, 72.52, 0.01
300, 1, 64.25, 0.01
325, 1, 55, 1
350, 1, 48, 1
375, 1, 43, 1
400, 1, 38.8, 0.5
425, 1, 35.4, 0.5
450, 1, 32.4, 0.5
475, 1, 29.8, 0.5
500, 1, 27.6, 0.5 